Task_ID,Model,Layer,Compute,Self CPU (us),CPU Total (us),CUDA Total (us),Self CPU Mem (bytes),Self CUDA Mem (bytes),Total Execution Time (us),Total Memory Used (bytes),FLOPs,Memory Accessed (bytes)
heavy_1,DemoResNet50,forward_pass,W0,322482.0,14536622.0,0.0,-3354010400,0,14536622.0,-3354010400,41428270080.0,2972754320.0
heavy_1,DemoResNet50,ProfilerStep*,W0,146613.0,7341620.0,0.0,-3354010400,0,7341620.0,-3354010400,0.0,0.0
heavy_1,DemoResNet50,backbone_conv1,W0,595.0,276598.0,0.0,0,0,276598.0,0,1180139520.0,38133760.0
heavy_1,DemoResNet50,backbone_bn1,W0,780.0,35724.0,0.0,0,0,35724.0,0,40140800.0,64225280.0
heavy_1,DemoResNet50,backbone_relu,W0,614.0,34735.0,0.0,0,0,34735.0,0,0.0,64225280.0
heavy_1,DemoResNet50,backbone_maxpool,W0,669.0,481443.0,0.0,0,0,481443.0,0,0.0,40140800.0
heavy_1,DemoResNet50,backbone_layer1_0_conv1,W0,628.0,43776.0,0.0,0,0,43776.0,0,128450560.0,16056320.0
heavy_1,DemoResNet50,backbone_layer1_0_bn1,W0,6200.0,18736.0,0.0,0,0,18736.0,0,10035200.0,16056320.0
heavy_1,DemoResNet50,backbone_layer1_0_relu,W0,7643.0,45423.0,0.0,0,0,45423.0,0,0.0,64225280.0
heavy_1,DemoResNet50,backbone_layer1_0_conv2,W0,677.0,101093.0,0.0,0,0,101093.0,0,1156055040.0,16056320.0
heavy_1,DemoResNet50,backbone_layer1_0_bn2,W0,610.0,14677.0,0.0,0,0,14677.0,0,10035200.0,16056320.0
heavy_1,DemoResNet50,backbone_layer1_0_conv3,W0,818.0,136866.0,0.0,0,0,136866.0,0,513802240.0,40140800.0
heavy_1,DemoResNet50,backbone_layer1_0_bn3,W0,815.0,46752.0,0.0,0,0,46752.0,0,40140800.0,64225280.0
heavy_1,DemoResNet50,backbone_layer1_0_downsample_0,W0,647.0,93026.0,0.0,0,0,93026.0,0,513802240.0,40140800.0
